2022/11/09 18:42:40.984 I CsvDatasetReader               Reading single user CSV dataset at user samples... 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\2990424.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3508523.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3550223.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3560832.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3568888.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3684742.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3734500.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3792207.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3805012.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3850318.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3947830.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3952606.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3975804.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\3991016.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\4008375.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\4008376.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\4008387.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\4030398.csv 
2022/11/09 18:42:41.019 I CsvDatasetReader                   c:\repos\dataset\2078\4054412.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4073877.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4074442.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4079104.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4087403.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4103333.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4107755.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4108932.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4113460.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4117783.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4132044.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4132153.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4136842.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4151752.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4155911.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4214645.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4215081.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4221349.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4275547.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4284387.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4327096.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4344091.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4348413.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4354204.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4364961.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4375975.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4376062.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4376152.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4379940.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4380995.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4393031.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4398331.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4414086.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4414121.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4414169.csv 
2022/11/09 18:42:41.034 I CsvDatasetReader                   c:\repos\dataset\2078\4432928.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4432976.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4436993.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4438976.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4445482.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4446790.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4457348.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4457767.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4462556.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4462848.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4463241.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4466739.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4483258.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4492685.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4492761.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4492800.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4515921.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4521279.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4524359.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4562903.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4562970.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4573092.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4574086.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4580235.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4589385.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4589405.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4589406.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4595374.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4604148.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4635682.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4641869.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4642446.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4645564.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4645805.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4672234.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4672341.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4683307.csv 
2022/11/09 18:42:41.050 I CsvDatasetReader                   c:\repos\dataset\2078\4683484.csv 
