VK,HT,FT
97,98,0
98,96,210
100,96,248
97,88,264
80,80,2672
65,88,224
67,88,352
73,88,256
69,80,192
78,96,168
84,120,232
69,96,56
32,72,248
83,96,15800
69,104,200
32,88,128
82,80,216
69,86,200
65,96,336
76,72,248
73,96,224
90,112,344
65,112,232
32,80,128
69,88,216
67,104,272
79,112,224
71,96,600
82,96,224
65,80,152
70,88,232
73,104,352
65,112,160
32,80,184
81,96,240
85,88,248
69,88,128
32,72,144
77,96,496
85,96,272
69,64,136
83,104,288
84,88,104
82,96,176
65,120,144
32,96,264
188,96,1184
32,88,176
68,72,456
8,80,800
65,80,352
83,64,248
67,88,240
73,104,320
84,96,272
73,104,520
83,104,232
8,70,33472
162,728,1112
86,80,368
46,142,3016
46,112,992
46,158,1344
46,152,1582
46,192,482
46,152,1008
46,160,392
46,208,1424
46,126,1672
46,126,4472
46,78,736
46,142,1768
46,134,472
46,152,1624
46,134,432
13,160,2408
13,62,13136
0,64,464
8,88,560
76,80,392
65,70,240
66,64,352
79,70,392
82,88,272
84,136,200
65,134,8
79,72,720
82,114,238
73,90,216
79,90,168
32,64,474
160,296,1312
190,72,72
162,494,29736
86,64,224
46,94,4256
46,110,640
8,88,1048
39,118,1208
46,130,3022
46,150,346
46,168,302
67,94,1218
8,112,1616
20,150,352
67,88,342
190,72,3434
13,64,400
83,98,3478
85,82,360
83,90,96
80,78,450
69,98,150
78,80,250
68,90,286
79,90,208
32,88,258
84,98,334
67,120,378
32,78,264
68,80,1246
69,96,194
32,70,160
65,98,270
66,82,288
68,122,248
79,134,296
77,114,232
69,166,216
78,86,218
188,90,502
32,78,154
83,88,328
79,70,160
76,90,166
73,104,216
67,112,256
85,88,192
84,88,250
79,144,406
32,66,512
8,80,1442
8,82,198
8,72,184
8,96,168
73,146,968
84,106,376
79,116,482
32,88,846
65,152,7616
66,126,330
68,96,304
79,96,270
77,98,280
69,112,464
78,88,240
32,90,264
68,120,1016
69,194,392
8,144,1592
8,74,232
8,64,192
8,64,168
8,64,168
8,48,168
8,74,152
8,66,144
8,64,160
8,58,264
32,82,520
82,102,226
88,114,382
32,64,192
65,82,376
66,90,416
68,126,208
79,94,264
77,116,234
69,104,238
78,88,160
32,90,216
68,80,240
69,116,248
32,24,192
80,106,384
73,98,248
69,114,912
188,88,1192
32,80,208
65,118,8720
71,80,448
85,120,272
65,104,184
82,88,168
68,114,208
79,96,288
32,104,272
83,88,1216
8,94,666
67,112,422
79,80,562
77,120,214
85,132,544
78,72,264
73,96,480
67,96,400
65,96,224
67,138,440
73,104,200
78,80,256
32,96,200
67,128,368
79,104,272
78,80,264
32,88,200
79,96,600
78,96,264
67,168,432
79,88,208
76,64,232
79,80,192
71,96,384
65,136,472
32,128,1346
68,88,862
69,96,184
32,88,144
32,64,3064
76,88,784
65,104,216
32,56,120
80,96,384
65,88,112
67,112,336
73,88,496
69,104,144
78,88,248
84,80,224
69,88,240
32,80,1448
160,238,1170
56,48,94
54,72,2928
49,120,1032
49,96,440
52,96,640
52,88,2672
56,120,1256
51,138,1048
56,80,1528
8,94,2962
49,104,630
49,96,248
160,318,4138
56,88,86
8,88,1112
162,392,696
56,80,136
32,88,4272
84,88,304
69,112,176
76,88,352
32,88,264
78,72,7768
79,80,320
