VK,HT,FT
97,80,0
103,71,496
101,57,527
105,63,321
80,71,397442
65,80,232
67,88,352
73,80,232
69,89,248
78,73,160
84,87,249
69,121,111
32,88,144
69,103,281
78,64,727
32,64,208
82,72,184
69,97,224
71,72,312
85,71,408
76,63,489
65,136,207
82,88,280
32,106,216
69,80,152
83,112,216
84,88,160
65,88,136
68,80,272
79,73,304
32,64,264
71,88,248
69,112,192
78,72,272
69,79,73
82,56,231
65,96,360
76,80,256
188,80,448
32,72,240
80,88,3304
8,56,1184
84,87,22889
65,103,248
32,88,192
57,64,1975
48,64,304
111,73,872
102,80,496
96,97,344
32,80,3857
83,72,407
65,64,176
84,80,457
32,72,263
105,78,1153
96,88,336
109,88,1799
105,80,496
99,80,360
162,375,4681
53,80,143
160,390,1698
54,88,150
8,87,1049
160,383,744
53,73,119
32,169,928
32,87,2169
55,80,1239
51,88,376
32,95,353
70,80,431
67,87,233
8,56,1135
8,64,169
8,64,167
8,65,160
8,80,152
70,79,944
67,88,257
32,63,256
55,72,831
51,105,352
188,80,1936
32,87,2185
55,79,488
48,88,592
32,96,296
72,71,456
71,56,872
84,73,519
20,118,11882
72,64,318
71,71,624
84,71,497
111,97,1431
32,56,3224
8,64,9089
20,127,536
80,81,255
20,94,138
8,71,1039
20,104,312
80,65,407
8,87,1121
20,175,832
80,89,495
32,79,6801
83,120,239
8,79,1977
69,96,775
65,136,369
66,71,911
32,72,19417
162,720,440
86,66,447
46,111,4826
46,136,383
46,135,344
46,150,321
46,167,295
46,126,3545
46,128,278
46,152,281
46,144,304
46,126,1753
46,112,271
46,135,224
46,129,311
46,112,1720
46,104,217
46,135,328
46,225,383
46,159,1441
13,120,1736
32,136,30688
32,72,264
162,279,609
86,65,110
13,72,4977
76,72,2304
65,80,208
66,47,344
79,72,456
82,72,296
65,128,152
84,63,129
79,72,607
82,56,416
73,136,504
79,134,113
160,280,1359
190,56,120
8,79,163409
8,86,78801
8,71,231
160,335,4377
190,57,126
32,72,424
71,80,6865
76,89,535
85,80,329
67,160,456
103,152,26248
104,97,215
111,80,1169
85,104,2136
82,88,312
69,97,191
65,135,345
32,129,1303
97,72,2425
102,88,240
105,88,232
111,89,1119
67,104,1641
82,120,208
69,88,176
101,112,2560
110,79,416
105,81,280
111,78,1218
70,64,3349
65,119,249
76,79,504
32,96,447
52,72,905
53,71,288
53,80,552
111,87,1776
84,72,864
71,79,352
79,80,672
103,96,1792
101,121,295
111,79,2233
84,65,2351
71,47,385
80,97,928
102,72,1328
104,81,247
111,89,2552
66,64,1713
73,79,664
76,66,231
32,55,633
101,80,911
96,71,265
98,88,200
111,88,864
8,80,2408
8,81,191
8,80,401
110,88,1104
98,96,640
111,97,1503
66,103,2369
68,72,744
32,152,720
99,97,1767
110,88,376
101,80,665
32,137,1943
72,72,1121
84,65,279
79,65,585
99,65,783
104,96,393
32,176,1032
72,81,559
66,87,281
32,201,623
97,177,464
98,159,129
13,72,7496
83,112,2848
79,64,512
76,49,207
73,72,337
67,104,592
73,88,144
84,72,304
69,112,280
32,56,216
73,94,410
67,137,685
32,81,176
67,103,225
79,80,352
78,72,272
32,64,224
84,95,792
69,88,280
82,64,184
65,89,599
80,80,273
73,88,280
65,119,192
190,88,1408
32,79,248
83,71,1856
69,89,199
32,57,168
65,72,305
71,88,480
85,96,328
65,72,208
82,80,239
68,72,209
65,111,296
32,72,168
82,87,504
69,66,215
65,96,321
76,72,208
73,87,241
90,72,239
65,73,184
67,88,279
73,160,233
79,191,88
78,80,280
32,88,216
68,72,112
69,104,216
32,64,120
67,88,968
80,112,424
59,89,231
65,97,329
77,64,408
71,87,584
73,79,328
79,89,199
8,128,937
8,80,232
8,65,191
8,57,184
8,64,169
8,72,168
8,65,167
79,64,10017
76,64,224
65,105,567
78,72,257
71,87,1184
79,80,512
61,7,816
8,159,0
8,184,504
73,169,1072
79,151,120
32,96,368
82,79,169
69,87,199
83,96,360
8,113,879
8,72,241
8,64,184
8,63,176
82,79,681
69,56,191
83,104,248
79,72,504
78,80,256
65,128,248
78,96,360
83,56,744
73,88,232
65,112,144
8,144,528
8,64,256
8,72,264
67,80,680
73,88,264
65,120,168
32,72,231
111,144,3217
32,88,656
83,72,184
69,104,176
32,65,119
73,79,522
78,65,246
73,72,585
67,112,536
73,96,288
65,153,528
32,72,312
65,96,70991
84,64,361
66,96,511
78,88,4017
79,87,248
