VK,HT,FT
97,80,-2147483648
96,49,248
100,64,260
98,102,751
80,80,350
65,105,238
67,104,434
73,88,182
69,95,192
78,79,152
69,110,197
84,117,44
32,90,327
8,82,982
8,72,215
8,72,30
84,117,939
69,92,200
32,106,288
67,131,687
79,81,238
78,71,270
32,72,247
66,66,344
85,99,248
69,118,239
78,85,227
65,80,279
32,54,6
69,88,280
86,105,445
79,84,247
76,89,214
85,101,292
67,105,241
73,139,193
79,29,183
78,112,270
32,72,126
67,110,445
76,95,231
73,94,274
78,34,232
73,118,270
67,81,339
65,95,552
188,90,591
32,80,40
65,96,111
70,64,373
69,91,198
66,72,278
82,100,239
73,92,315
76,95,205
188,87,1237
32,74,196
67,112,372
79,102,239
78,72,345
32,56,224
77,45,1017
69,79,154
74,92,143
79,94,392
82,71,254
73,82,222
65,102,363
32,95,27
83,121,393
85,66,290
83,95,345
84,70,192
65,63,166
8,73,1276
8,41,168
8,80,34
8,49,239
8,89,8
8,51,579
8,64,145
8,0,216
8,0,26
8,60,48
8,0,152
74,75,475
79,71,266
82,151,290
73,72,261
65,150,365
32,128,217
68,3,334
69,105,184
76,78,430
32,84,226
67,130,227
85,89,304
65,120,267
68,86,232
82,92,192
79,64,270
32,76,192
65,128,354
76,84,320
69,73,147
82,95,218
71,80,293
73,83,246
67,86,314
79,56,208
190,80,1191
13,103,551
13,89,927
80,53,1444
65,119,262
8,0,922
8,102,272
8,0,175
8,74,640
13,15,804
76,80,386
85,72,248
67,72,113
73,80,251
68,146,225
65,83,210
32,72,198
79,72,829
82,112,280
73,71,103
69,94,154
78,71,201
84,112,264
65,128,120
68,118,234
65,128,208
32,78,175
69,103,1220
78,55,305
32,165,109
84,100,384
73,64,300
69,88,224
77,87,178
80,96,237
73,86,265
8,71,1319
79,72,456
32,80,283
89,3,304
32,84,204
69,96,410
83,92,237
79,80,490
65,101,368
8,144,1012
8,72,153
79,134,818
8,87,85
80,101,231
65,71,153
67,57,793
73,100,201
79,63,176
32,80,455
83,97,681
73,185,125
78,104,76
32,89,150
83,35,288
73,95,159
71,81,268
78,71,248
79,95,360
83,96,304
32,88,177
77,80,409
69,79,109
78,89,208
73,103,215
78,101,280
71,89,352
8,0,192
61,4,528
61,935,919
8,0,203
8,24,26
8,65,31
8,0,29
8,65,25
8,66,144
8,83,168
8,83,142
8,0,25
8,0,31
8,0,209
8,0,30
8,59,171
8,0,30
8,0,167
8,71,25
8,7,168
8,0,168
8,84,25
190,86,1057
32,77,269
72,96,267
69,73,176
77,142,291
79,80,414
68,81,244
73,92,96
78,87,260
65,127,308
77,71,240
73,80,305
67,98,252
65,109,218
77,96,450
69,112,265
78,72,154
84,88,257
69,113,134
32,86,184
69,90,135
83,89,240
84,103,258
65,79,149
66,86,658
76,108,395
69,122,215
188,81,1059
32,96,695
65,114,1446
70,72,320
69,114,235
66,93,282
82,154,244
73,72,303
76,83,243
188,82,471
8,0,183
8,0,152
8,0,190
8,81,176
8,81,167
8,0,1168
8,94,31
8,0,24
8,104,191
32,64,871
71,81,434
76,79,517
65,84,50
83,103,920
71,104,474
79,83,545
87,95,790
32,64,718
49,107,299
53,73,408
111,64,542
49,129,370
53,97,443
13,160,537
83,124,451
69,64,208
32,89,249
73,97,269
78,90,192
68,128,289
73,73,248
67,80,204
65,134,315
32,88,149
76,99,322
65,103,155
32,23,186
69,91,353
88,127,334
84,120,421
69,121,181
82,72,196
78,87,406
65,75,168
67,124,341
73,120,174
79,114,118
78,80,334
32,87,199
89,89,963
32,72,747
83,44,148
69,103,209
71,72,228
85,56,434
73,56,232
73,87,29
77,64,232
8,89,650
8,67,214
8,0,184
73,80,526
77,79,214
73,78,461
69,61,225
78,96,212
84,114,263
79,59,319
32,95,244
80,76,439
79,64,127
82,88,282
32,75,132
65,104,161
76,55,97
69,97,143
82,82,215
71,72,288
73,72,360
83,102,223
84,81,206
65,81,91
190,71,805
78,97,376
79,79,294
